HARI,TANGGAL,SESI,MATAKULIAH,JAM,KELAS,DOSEN,LINK_SERVER
Senin,04/05/2026,I,Metodologi Penelitian,14.00 - 15.00,AB A SG,Julia Mardalisa,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,I,Metodologi Penelitian,14.00 - 15.00,AB B SG,A'ung Ezra Al'Fatah,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,I,Metodologi Penelitian,14.00 - 15.00,AB C SG,A'ung Ezra Al'Fatah,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,I,Organisasi dan Arsitektur Komputer,14.00 - 15.00,IF A SG,Tar Muhammad Raja Gunung,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,I,Organisasi dan Arsitektur Komputer,14.00 - 15.00,IF B SG,Ardi Saputra,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,I,Organisasi dan Arsitektur Komputer,14.00 - 15.00,IF C SG,M. Fachrurrozi Nst,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,I,Organisasi dan Arsitektur Komputer,14.00 - 15.00,IF D SG,M. Fachrurrozi Nst,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,I,Pendidikan untuk Pembangunan Berkelanjutan,14.00 - 15.00,KB A SG,Bdn. Bilqis Nur Mustofa,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,I,Pendidikan untuk Pembangunan Berkelanjutan,14.00 - 15.00,KB B SG,Dewi Faradillah,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,II,Ekonomi Produksi Agribisnis,15.30 - 16.30,AB A SG,Putra Irwandi,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,II,Ekonomi Produksi Agribisnis,15.30 - 16.30,AB B SG,Rahmi Nofitasari,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,II,Ekonomi Produksi Agribisnis,15.30 - 16.30,AB C SG,Rahmi Nofitasari,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,II,Kepemimpinan,15.30 - 16.30,BI A SG,Sri Hartati Sidauruk,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,II,Kepemimpinan,15.30 - 16.30,BI B SG,Sri Hartati Sidauruk,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,II,Kepemimpinan,15.30 - 16.30,BI C SG,Widi Sriwahyuni Pasaribu,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,II,Kesehatan Perempuan dan Perencanaan Keluarga,15.30 - 16.30,KB A SG,Wiwiek Elsada Nainggolan,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,II,Kesehatan Perempuan dan Perencanaan Keluarga,15.30 - 16.30,KB B SG,Wiwiek Elsada Nainggolan,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,III,Metodologi Penelitian,17.30 - 18.30,AB A SR,A'ung Ezra Al'Fatah,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,III,Metodologi Penelitian,17.30 - 18.30,AB B SR,Julia Mardalisa,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,III,Metodologi Penelitian,17.30 - 18.30,AB C SR,A'ung Ezra Al'Fatah,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,III,Metodologi Penelitian,17.30 - 18.30,AB D SR,Julia Mardalisa,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,III,Organisasi dan Arsitektur Komputer,17.30 - 18.30,IF A SR,M. Fachrurrozi Nst,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,III,Organisasi dan Arsitektur Komputer,17.30 - 18.30,IF B SR,Ardi Saputra,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,III,Organisasi dan Arsitektur Komputer,17.45 - 18.45,IF C SR,Tar Muhammad Raja Gunung,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,III,Organisasi dan Arsitektur Komputer,17.30 - 18.30,IF D SR,Tar Muhammad Raja Gunung,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,III,Pendidikan untuk Pembangunan Berkelanjutan,17.30 - 18.30,KB A SR,Bd. Dita Anggriani Lubis,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,III,Pendidikan untuk Pembangunan Berkelanjutan,17.30 - 18.30,KB B SR,Dewi Faradillah,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,IV,Ekonomi Produksi Agribisnis,19.20 - 20.20,AB A SR,Rahmi Nofitasari,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,IV,Ekonomi Produksi Agribisnis,19.20 - 20.20,AB B SR,Putra Irwandi,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,IV,Ekonomi Produksi Agribisnis,19.20 - 20.20,AB C SR,Indah Adelina Siregar,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,IV,Ekonomi Produksi Agribisnis,19.20 - 20.20,AB D SR,Indah Kartika Sandra,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,IV,Kepemimpinan,19.20 - 20.20,BI A SR,Widi Sriwahyuni Pasaribu,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,IV,Kepemimpinan,19.20 - 20.20,BI B SR,Zulfa Hazimah,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,IV,Kepemimpinan,19.20 - 20.20,BI C SR,Zulfa Hazimah,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,IV,Kepemimpinan,19.20 - 20.20,BI D SR,Widi Sriwahyuni Pasaribu,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,IV,Kesehatan Perempuan dan Perencanaan Keluarga,19.20 - 20.20,KB A SR,Wiwiek Elsada Nainggolan,https://s2.satyaterrabhinneka.ac.id
Senin,04/05/2026,IV,Kesehatan Perempuan dan Perencanaan Keluarga,19.20 - 20.20,KB B SR,Bdn. Bilqis Nur Mustofa,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,I,Kewirausahaan Agribisnis,14.00 - 15.00,AB A SG,Hendris Syah Putra,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,I,Kewirausahaan Agribisnis,14.00 - 15.00,AB B SG,M. Fariz Afif Hasibuan,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,I,Kewirausahaan Agribisnis,14.00 - 15.00,AB C SG,Herlyna Novasari Siahaan,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,I,Interaksi Manusia dan Komputer,14.00 - 15.00,BI A SG,Frinto Tambunan,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,I,Interaksi Manusia dan Komputer,14.00 - 15.00,BI B SG,Junerdi Nababan,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,I,Interaksi Manusia dan Komputer,14.00 - 15.00,BI C SG,Junerdi Nababan,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,I,Silvikultur,14.00 - 15.00,MH A SG,Rizky Wahyudi,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,I,Silvikultur,14.00 - 15.00,MH B SG,Ulil Amri Daulay,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,II,Ilmu Tanah,15.30 - 16.30,AB A SG,Samsul Ma'arif,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,II,Ilmu Tanah,15.30 - 16.30,AB B SG,Munawarah,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,II,Ilmu Tanah,15.30 - 16.30,AB C SG,Ina Febria Ginting,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,II,Kebidanan Komunitas,15.30 - 16.30,KB A SG,Bdn. Dinda Dian Meidita,https://s2.satyaterrabhinneka.ac.id
